2026-07-22 19:03:29 | WARNING  | discord.client | PyNaCl is not installed, voice will NOT be supported
2026-07-22 19:03:29 | WARNING  | discord.client | davey is not installed, voice will NOT be supported
2026-07-22 19:03:29 | WARNING  | discord.ext.commands.bot | Privileged message content intent is missing, commands may not work as expected.
2026-07-22 19:03:29 | INFO     | __main__ | Loaded extension: crypto
2026-07-22 19:03:29 | INFO     | __main__ | Loaded extension: general
2026-07-22 19:03:29 | INFO     | __main__ | Loaded extension: network
2026-07-22 19:03:29 | INFO     | __main__ | Loaded extension: osint
2026-07-22 19:03:29 | INFO     | __main__ | Loaded extension: security
2026-07-22 19:03:29 | INFO     | __main__ | Loaded extension: utils
2026-07-22 19:03:29 | INFO     | discord.client | logging in using static token
2026-07-22 19:03:31 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: a70d628589f997df1939cfd8529d2d5a).
2026-07-22 19:03:33 | INFO     | __main__ | Logged in as LSentinel#5341
2026-07-22 19:26:15 | WARNING  | discord.client | PyNaCl is not installed, voice will NOT be supported
2026-07-22 19:26:15 | WARNING  | discord.client | davey is not installed, voice will NOT be supported
2026-07-22 19:26:15 | WARNING  | discord.ext.commands.bot | Privileged message content intent is missing, commands may not work as expected.
2026-07-22 19:26:15 | INFO     | __main__ | Loaded extension: crypto
2026-07-22 19:26:15 | INFO     | __main__ | Loaded extension: general
2026-07-22 19:26:15 | INFO     | __main__ | Loaded extension: network
2026-07-22 19:26:15 | INFO     | __main__ | Loaded extension: osint
2026-07-22 19:26:15 | INFO     | __main__ | Loaded extension: security
2026-07-22 19:26:15 | INFO     | __main__ | Loaded extension: utils
2026-07-22 19:26:15 | INFO     | discord.client | logging in using static token
2026-07-22 19:26:16 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: f2117940feddaa05e4aefadfa50ee386).
2026-07-22 19:26:18 | INFO     | __main__ | Logged in as LSentinel#5341
